0,-1.8387,5.9385,4.2495
0.029786,-1.6072,5.598,4.8216
0.060669,-0.84446,5.8976,6.6331
0.089905,-0.61292,7.7772,6.7421
0.12015,-1.076,9.5342,6.7829
0.14984,-1.185,9.507,8.8941
0.17984,-0.72188,8.0088,9.2346
0.2099,-0.53119,7.6683,10.188
0.23984,0.23155,8.2812,9.2346
0.26984,1.1169,8.7715,7.8862
0.29978,1.0351,8.4719,8.1586
0.32977,0.42223,7.3958,9.2346
0.35974,0.31327,5.8976,8.5808
0.38974,0.081722,5.8976,7.1234
0.41971,0.31327,5.9793,6.7421
0.44986,0.65378,6.17,6.6604
0.47986,0.50395,6.0883,6.279
0.50989,0.53119,6.1292,7.355
0.5398,0.53119,6.0202,8.0769
0.56979,-0.040861,6.0474,7.6683
0.59982,-0.29965,5.9793,7.3141
0.62997,0.040861,5.8976,7.5865
0.65973,0.46309,5.8295,7.9679
0.68976,0.69464,5.7069,7.5457
0.72028,0.31327,5.6661,6.8238
0.74991,0.31327,5.9385,7.355
0.77991,0.34051,6.2381,7.927
0.80985,0.10896,6.3198,7.7772
0.83981,-0.10896,5.9385,7.6955
0.86984,-0.14982,5.4754,7.8862
0.89978,-0.29965,5.5571,7.8181
0.92978,-0.14982,5.7069,7.246
0.95978,0.040861,6.2109,7.5865
0.9899,0.081722,6.8238,8.3493
1.0198,-0,6.7012,7.927
1.0498,-0.27241,6.1292,7.5457
1.0798,-0.76274,5.5162,7.355
1.1098,-0.99429,5.3664,7.246
1.1398,-0.8036,5.598,7.355
1.1697,-0.65378,6.0202,7.3141
1.1999,-0.84446,6.5514,7.464
1.2298,-0.53119,6.17,7.7772
1.2598,-0.42223,5.7886,7.7364
1.2898,-0.57205,5.8976,7.5048
1.3198,-0.69464,6.0202,7.355
1.3511,0.10896,6.851,7.3958
1.3799,-0.46309,6.4016,6.5514
1.4098,-0.61292,6.279,7.1234
1.4398,-0.88532,6.8238,6.9736
1.47,-0.72188,6.4424,7.0145
1.4998,-0.42223,6.0474,6.5514
1.5298,-0.46309,6.0202,6.8919
1.5599,-0.34051,6.4016,7.246
1.5898,-0.46309,6.7421,6.9328
1.6198,-0.69464,6.2381,7.464
1.6498,-0.23155,5.9793,7.6955
1.681,0.081722,6.279,6.7829
1.7099,0.040861,6.2381,7.355
1.7398,-0.38137,6.0474,8.0496
1.7697,-0.29965,5.9793,8.0496
1.8,-0.42223,5.9385,7.0145
1.8311,-0.95342,6.2109,6.7829
1.8599,-0.72188,6.6604,7.464
1.8898,-0.76274,6.9328,7.7364
1.9301,-0.57205,7.8589,7.5865
1.9697,0.34051,4.6718,8.1586
1.9999,-0.23155,4.9033,6.7012
2.043,-0.65378,5.2438,6.3607
2.0801,-0.76274,5.4754,7.3958
2.1245,-0.57205,5.7478,7.6274
2.2,-0.23155,5.6661,8.6217
2.2301,-0.10896,5.3256,8.8124
2.2601,-0.19068,5.3256,8.7306
2.2903,-0.19068,5.5571,7.6955
2.3216,-0.29965,5.2847,7.2733
2.3503,-0.38137,5.0123,7.5457
2.3799,-0.50395,4.7535,8.0769
2.4099,-0.46309,4.3994,8.431
2.4402,-0.081722,4.0997,8.54
2.4779,0.34051,4.4811,7.4367
2.5101,1.6481,5.7478,7.2052
2.5413,2.152,4.8625,8.9213
2.5704,1.8796,4.6718,8.9213
2.6055,1.185,5.6661,8.54
2.6482,-0.95342,5.7886,11.346
2.68,-0.61292,4.3313,8.431
2.7108,-4.3721,8.7715,4.1814
2.7401,-5.3256,4.4402,6.17
2.77,-4.7535,6.1292,8.7715
2.8,-3.4459,7.246,6.6604
2.8682,-2.7513,7.6683,6.4697
2.9,-5.9385,12.871,0.10896
2.9299,-6.5514,13.334,0.88532
2.964,-7.246,14.329,1.5663
3.0002,-4.3721,9.8475,2.152
3.0299,-1.9886,7.246,0.27241
3.0599,-1.9886,9.4253,-0.61292
3.0899,-2.0703,10.229,-1.1169
3.1201,-1.3757,8.8124,-2.3427
3.1501,-1.3076,6.7421,-1.6481
3.1801,-1.9205,5.5571,-0.38137
